id_reserva;Día de semana de fecha_venta;Hora de turno;canal;cpais_id;descuento;genero;provincia;tarifa;tipo_servicio;fecha_venta;familia;precio
1;miércoles;20;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2020;familia_1;35
2;miércoles;20;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2020;familia_1;35
3;miércoles;20;canal_2;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2020;familia_1;35
4;miércoles;20;canal_2;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2020;familia_1;35
5;miércoles;20;canal_2;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2020;familia_1;35
6;viernes;20;canal_1;Pais_1;0;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
7;viernes;20;canal_3;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
8;viernes;20;canal_3;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
9;viernes;18;canal_3;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
10;viernes;18;canal_3;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
11;viernes;16;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
12;viernes;16;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
13;viernes;18;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
14;viernes;18;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
15;viernes;16;canal_3;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
16;viernes;16;canal_3;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
17;viernes;16;canal_3;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
18;viernes;16;canal_3;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
19;viernes;16;canal_3;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-01-2021;familia_1;35
20;viernes;18;canal_3;Pais_1;25;H;PROVINCIA_1;tarifa_1;tipo_servicio_3;01-01-2021;familia_1;35
21;viernes;18;canal_3;Pais_1;25;H;PROVINCIA_1;tarifa_1;tipo_servicio_3;01-01-2021;familia_1;35
22;viernes;10;canal_3;Pais_1;20;H;PROVINCIA_1;tarifa_3;tipo_servicio_3;01-01-2021;familia_1;35
23;viernes;20;canal_3;Pais_1;25;H;PROVINCIA_1;tarifa_1;tipo_servicio_3;01-01-2021;familia_1;35
24;viernes;20;canal_3;Pais_1;25;H;PROVINCIA_1;tarifa_1;tipo_servicio_3;01-01-2021;familia_1;35
25;viernes;20;canal_3;Pais_1;25;H;PROVINCIA_1;tarifa_1;tipo_servicio_3;01-01-2021;familia_1;35
26;viernes;20;canal_3;Pais_1;25;H;PROVINCIA_1;tarifa_1;tipo_servicio_3;01-01-2021;familia_1;35
27;viernes;12;canal_1;Pais_1;20;H;PROVINCIA_1;tarifa_3;tipo_servicio_3;01-02-2019;familia_1;35
28;viernes;18;canal_3;Pais_1;20;H;PROVINCIA_1;tarifa_3;tipo_servicio_3;01-02-2019;familia_1;35
29;sábado;16;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
30;sábado;10;canal_1;Pais_1;25;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
31;sábado;10;canal_1;Pais_1;25;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
32;sábado;10;canal_1;Pais_1;25;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
33;sábado;10;canal_1;Pais_1;25;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
34;sábado;10;canal_1;Pais_1;25;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
35;sábado;16;canal_1;Pais_1;0;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
36;sábado;16;canal_1;Pais_1;0;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
37;sábado;16;canal_1;Pais_1;0;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
38;sábado;12;canal_1;Pais_1;0;H;PROVINCIA_2;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
39;sábado;12;canal_2;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
40;sábado;12;canal_2;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
41;sábado;12;canal_2;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
42;sábado;20;canal_3;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
43;sábado;20;canal_3;Pais_1;0;M;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
44;sábado;20;canal_1;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
45;sábado;14;canal_3;Pais_1;0;H;PROVINCIA_1;tarifa_1;tipo_servicio_1;01-02-2020;familia_1;35
46;sábado;16;canal_1;Pais_1;0;H;PROVINCIA_2;tarifa_1;tipo_servicio_3;01-02-2020;familia_1;35
47;sábado;16;canal_1;Pais_1;20;H;PROVINCIA_2;tarifa_3;tipo_servicio_3;01-02-2020;familia_1;35
